country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,avg_value
South Korea,KOR,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,11.40456182,11.96552867,11.69718502,12.84474446,14.24901987,17.10368054,16.69636995,16.80876979,17.1539961,17.06964342,17.35679039,16.66666667,18.73374417,21.4878874,20.85895003,20.13354073,21.44920126,21.07200628,21.13657596,21.64692013,21.98584774,21.834797,21.83582199,22.97102971,24.57243995,24.22838158,25.44506136,26.72579126,27.60381028,26.59500681,25.01897224,25.18901473,24.41078933,24.64149999,25.30211274,25.80146219,24.70505809,24.66161551,25.46710788,25.67377289,26.44837351,24.87906659,24.48564896,24.12400805,26.11841277,25.73718379,25.30537196,25.48295331,25.62215148,25.77490296,27.43876659,28.23679861,27.8318955,27.78585374,27.04245216,26.60603573,26.35776522,26.94587269,26.63850865,25.22222287,24.7802807,25.46192953,22.84728438
Indonesia,IDN,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42838844,15.06283399,16.36745044,16.75807614,16.94512522,18.47399947,18.1376047,19.89302505,20.95643794,21.7564418,22.30495082,23.34803779,24.13317871,25.61663487,26.79294652,24.99567095,25.99487911,22.65975121,30.75459722,31.95327849,28.25284184,28.06582659,27.40750748,27.53757408,27.04841275,27.81427299,26.35547453,22.03862859,21.7608545,21.45095506,21.02868868,21.07517605,20.98578743,20.52297468,20.16002236,19.86319338,19.70353909,19.87328813,19.25015662,22.47508933
Czechia,CZE,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.01449567,21.18943463,21.55971349,22.38249998,23.2437048,22.86341986,22.60043684,23.37751211,23.64711922,22.34593171,21.65781462,22.73611355,22.62386699,23.25532919,23.19853205,21.96610815,20.36294483,20.9596606,22.10695703,21.94380803,21.96339635,23.7144844,23.92167732,24.03109276,23.53332969,22.6748511,22.61708456,21.35212872,21.08031723,22.41116433
Romania,ROU,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.72557739,30.03217674,26.64430669,28.7054063,23.87065409,25.56091221,23.94265121,21.39176442,19.37982527,19.81289205,22.02077835,21.80926831,21.0476788,21.24200462,21.26789929,21.10539481,21.02806472,21.94535141,21.00696485,23.36313514,25.91334211,21.27649437,20.21626246,21.51418409,20.20816691,20.12461103,19.81269339,18.9415433,17.16843646,15.85973872,15.56243458,22.04840691
Philippines,PHL,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.27956529,25.31154589,25.13540868,24.83687265,24.01199788,24.26990117,23.8291854,23.1509116,23.26866768,21.73861439,21.91920172,21.70432695,21.32857121,20.43449877,20.57508399,19.92802237,19.5903032,19.50020206,19.09824717,18.5164544,17.65817905,17.63680409,21.76011662
Malaysia,MYS,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,10.26098023,10.00974236,10.55286111,9.383326393,10.19669354,10.19965856,10.56481555,11.67805368,11.83922119,13.11056071,13.76390566,14.1190521,14.67283052,16.70452278,18.72122452,18.71931444,19.70125512,20.42706339,20.17921396,20.59815139,21.94794008,21.30468314,19.39881372,19.52706249,19.66468485,19.67103201,19.68129885,19.80390948,21.82202014,23.80241939,24.2246874,25.54986531,25.82259328,25.92599045,26.64060861,26.37803239,27.84276323,28.38020547,28.78270602,30.93621577,30.86354977,29.33640404,29.24639822,29.92867189,30.37814736,27.54968008,27.56608756,26.12258394,24.56071766,23.80014505,23.43377557,23.32020449,23.13817629,22.84074242,22.87393024,22.29330102,21.79694614,21.84615721,21.52815384,21.40899482,22.25204513,23.46820054,21.16230633
Japan,JPN,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4692154,23.47176597,23.36115644,23.35048737,22.83664376,22.40186384,22.45220881,21.11971717,20.71470205,20.91713129,21.12059122,21.42337239,21.39928569,21.87550588,21.27403122,19.04768351,20.7662009,19.53555431,19.66670843,19.32903165,19.59360923,20.46247038,20.28803857,20.43594607,20.61976963,20.05877622,19.74777174,0,21.13849034
Singapore,SGP,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,10.57754705,10.30033751,10.73024157,11.69455322,12.812363,13.53733744,14.09248004,14.45420724,15.10631473,16.17499459,17.45445886,18.59767096,20.16910976,21.29651006,21.99837898,21.43684398,22.08232801,22.59680063,23.33591458,25.25069532,26.5261156,25.7581049,22.29291491,21.4643439,21.40238292,20.11536165,22.61381616,24.09005587,26.07842073,25.30122251,24.40422571,25.45987665,24.34968359,24.47185598,23.62472169,23.98506226,23.16721806,22.15150366,22.68745265,22.85068631,25.86148604,23.39469785,24.73764032,24.76541269,27.1193676,27.0767618,26.57800599,23.8226519,20.58566497,20.27337643,20.77383303,19.58255151,19.11682198,17.63840961,17.99976889,18.08932985,17.50825828,18.58334721,20.73630601,19.43284515,19.95498366,21.07415386,20.82580303
Vietnam,VNM,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.82328356,19.38072563,19.3804145,18.57965765,18.30103546,17.13057172,18.69414706,20.27409382,20.68745183,20.3712279,20.96009053,21.48825327,22.62712243,23.36716829,23.78671736,23.94724221,24.61742908,20.73039014
Slovenia,SVN,"Manufacturing,0value0added0(%0of0GDP)",NV.IND.MANF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57388496,21.74272687,22.23682367,22.27039257,22.0039201,21.66002002,21.92983427,21.54101632,21.69442316,21.43999377,20.60883101,20.47089989,20.37507795,19.201582,17.12688871,17.47902295,18.21143714,18.73041142,19.15985954,19.62320694,19.93938327,20.16714694,20.57310748,20.30824379,20.62474535,20.53988964,20.02696978,20.41702739
