pop2023,city,country,growthRate,type,rank
1935619,La Paz,Bolivia,0.0146,w,270
1928661,West Yorkshire,United Kingdom,0.0071,w,271
1904631,Benin City,Nigeria,0.0345,w,272
1898749,Leon de los Aldamas,Mexico,0.0135,w,273
1889829,Zhuhai,China,0.023,w,274
1873693,Datong,China,0.0228,w,275
1869994,Quanzhou,China,0.0305,w,276
1865172,Can Tho,Vietnam,0.0441,w,277
1852405,Matola,Mozambique,0.0309,w,278
1835895,Adana,Turkey,0.0118,w,279
1834279,Madurai,India,0.0197,w,280
1830858,Sharjah,United Arab Emirates,0.0253,w,281
1820114,Santa Cruz,Bolivia,0.02,w,282
1818421,Palembang,Indonesia,0.0186,w,283
1816813,Raipur,India,0.032,w,284
1804704,Gaziantep,Turkey,0.0176,w,285
1801944,Turin,Italy,0.0019,w,286
1797805,Meerut,India,0.0202,w,287
1797516,Warsaw,Poland,0.0017,w,288
1792020,Mosul,Iraq,0.0316,w,289
1788871,Cixi,China,0.0324,w,290
1787520,Hamburg,Germany,-0.0004,w,291
1780592,La Laguna,Mexico,0.0293,w,292
1778052,Budapest,Hungary,0.0016,w,293
1776385,Bucharest,Romania,-0.005,w,294
1774396,Montevideo,Uruguay,0.004,w,295
1768511,Jiangmen,China,0.0163,w,296
1761188,Lyon,France,0.0078,w,297
1754425,Varanasi,India,0.0187,w,298
1748142,Batam,Indonesia,0.0375,w,299
1742706,Xiangyang,China,0.0171,w,300
1720954,Shiraz,Iran,0.0132,w,301
1716591,Yinchuan,China,0.0262,w,302
1711244,Yichang,China,0.0308,w,303
1700066,Stockholm,Sweden,0.0125,w,304
1698277,Srinagar,India,0.0231,w,305
1698088,Glasgow,United Kingdom,0.0054,w,306
1695060,Jamshedpur,India,0.0202,w,307
1694765,Novosibirsk,Russia,0.0051,w,308
1689499,Anshan,China,0.0134,w,309
1683389,Aurangabad,India,0.0255,w,310
1680962,Qinhuangdao,China,0.0282,w,311
1678020,Monrovia,Liberia,0.0342,w,312
1677173,Tiruppur,India,0.0356,w,313
1673220,Auckland,New Zealand,0.0126,w,314
1673094,Makassar,Indonesia,0.0189,w,315
1672627,Ulaanbaatar,Mongolia,0.0171,w,316
1668785,Jilin,China,0.0144,w,317
1666605,Xining,China,0.0251,w,318
1664968,Suqian,China,0.0433,w,319
1664442,Kananga,DR Congo,0.0449,w,320
1661854,Hengyang,China,0.0265,w,321
1660737,Tabriz,Iran,0.0102,w,322
1656892,Phoenix,United States,0.0099,w,323
1650319,Muscat,Oman,0.0171,w,324
1642347,Anyang,China,0.0357,w,325
1639613,Calgary,Canada,0.0175,w,326
1635458,Qiqihaer,China,0.0164,w,327
1627549,Marseille,France,0.0045,w,328
1627134,Philadelphia,PA,0.0048,w,329
1623382,Onitsha,Nigeria,0.0456,w,330
1611651,Cordoba,Argentina,0.0086,w,331
1594096,Rosario,Argentina,0.0126,w,332
1593608,Karaj,Iran,0.0043,w,333
1592324,N-Djamena,Chad,0.039,w,334
1586547,Jodhpur,India,0.0249,w,335
1582313,Ciudad Juarez,Mexico,0.0138,w,336
1578128,Harare,Zimbabwe,0.0131,w,337
1577436,Daejon,South Korea,0.0026,w,338
1576416,Munich,Germany,0.0066,w,339
1572571,Medina,Saudi Arabia,0.0176,w,340
1571010,Kathmandu,Nepal,0.0328,w,341
