pop2023,city,country,growthRate,type,rank
975348,Mudanjiang,China,0.0177,w,599
972228,Fort Worth,United States,0.0186,w,600
970129,Jos,Nigeria,0.0297,w,601
969804,Jerusalem,Israel,0.0135,w,602
969322,Nampula,Mozambique,0.0451,w,603
967428,Guigang,China,0.0259,w,604
964291,Sylhet,Bangladesh,0.0393,w,605
964266,Ciudad Guayana,Venezuela,0.0155,w,606
963045,Cucuta,Colombia,0.0101,w,607
961991,Rajshahi,Bangladesh,0.0211,w,608
960349,Zamboanga City,Philippines,0.0164,w,609
958998,Arequipa,Peru,0.0128,w,610
958548,Lubango,Angola,0.0482,w,611
958487,Najaf,Iraq,0.031,w,612
958335,Bangui,Central African Republic,0.027,w,613
956079,Yangjiang,China,0.023,w,614
955663,Hengshui,China,0.0334,w,615
955519,Zhangzhou,China,0.0285,w,616
955226,Veracruz,Mexico,0.0134,w,617
955104,Khulna,Bangladesh,0.0057,w,618
953768,Tianmen,China,0.0286,w,619
952278,Xinyu,China,0.0321,w,620
951822,Linfen,China,0.0318,w,621
951531,Southampton,United Kingdom,0.0083,w,622
951417,Reynosa,Mexico,0.0181,w,623
950048,Pathum Thani,Thailand,0.0129,w,624
948149,Nice,France,0.003,w,625
946653,Antipolo,Philippines,0.0235,w,626
944465,Bengbu,China,0.0161,w,627
943530,Villahermosa,Mexico,0.016,w,628
941586,Dnipro,Ukraine,-0.0053,w,629
941508,Seongnam,South Korea,-0.0001,w,630
941364,Columbus,United States,0.0128,w,631
940600,Taiz,Yemen,0.0362,w,632
939166,Deyang,China,0.0284,w,633
936997,Liling,China,0.0424,w,634
935947,Oran,Algeria,0.0148,w,635
934341,West Rand,South Africa,0.0139,w,636
933395,Jiangyin,China,0.0312,w,637
927532,Baishan,China,0.0365,w,638
926095,Campo Grande,Brazil,0.0102,w,639
922425,Londrina,Brazil,0.0125,w,640
919654,Bahawalpur,Pakistan,0.0281,w,641
919443,Malang,Indonesia,0.0138,w,642
918324,Guntur,India,0.0241,w,643
917936,Dandong,China,0.0158,w,644
917527,Charlotte,United States,0.0159,w,645
917032,Liverpool,United Kingdom,0.006,w,646
915060,Hermosillo,Mexico,0.0171,w,647
914036,La Plata,Argentina,0.0109,w,648
913376,Bergamo,Italy,0.0068,w,649
912734,Ulsan,South Korea,0.0013,w,650
911862,Concepcion,Chile,0.0108,w,651
910743,Changzhi,China,0.0234,w,652
907802,Indianapolis,United States,0.0075,w,653
906581,Bhiwandi,India,0.019,w,654
905814,Bogra,Bangladesh,0.0482,w,655
904676,Cabinda,Angola,0.0497,w,656
904139,Umuahia,Nigeria,0.0506,w,657
903896,Trujillo,Peru,0.0145,w,658
903815,Tyumen,Russia,0.0189,w,659
902353,Ashgabat,Turkmenistan,0.0215,w,660
900692,Liaoyang,China,0.0174,w,661
898338,Changde,China,0.025,w,662
897983,Puducherry,India,0.0239,w,663
897694,Tuxtla Gutierrez,Mexico,0.0182,w,664
896716,Erbil,Iraq,0.0214,w,665
895111,Shangqiu,China,0.0252,w,666
894584,San Francisco,United States,0.0077,w,667
894388,Firozabad,India,0.0278,w,668
892254,Soshanguve,South Africa,0.0151,w,669
888620,Culiacan,Mexico,0.0183,w,670
887716,Donetsk,Ukraine,-0.0064,w,671
886381,Xingtai,China,0.021,w,672
876930,Huangshi,China,0.019,w,673
876131,Fuxin,China,0.0152,w,674
875496,Kuerle,China,0.0418,w,675
872438,Hufuf-Mubarraz,Saudi Arabia,0.014,w,676
871457,Quzhou,China,0.0419,w,677
870465,Cherthala,India,0.0401,w,678
869773,Libreville,Gabon,0.0151,w,679
869625,Tainan,Taiwan,0.0072,w,680
864910,Yibin,China,0.0199,w,681
861978,Xinghua,China,0.0268,w,682
860522,Yongzhou,China,0.0296,w,683
859209,Banghazi,Libya,0.0135,w,684
857683,Luzhou,China,0.0147,w,685
857225,Ipoh,Malaysia,0.0177,w,686
855191,Xinyang,China,0.0225,w,687
851630,Yangquan,China,0.0225,w,688
849687,Palermo,Italy,0,w,689
849580,Xiaogan,China,0.0256,w,690
846560,Enugu,Nigeria,0.0327,w,691
844747,Maiduguri,Nigeria,0.0273,w,692
844249,Quebec City,Canada,0.0077,w,693
843754,Huaihua,China,0.035,w,694
841108,Winnipeg,Canada,0.0098,w,695
839046,Lokoja,Nigeria,0.0611,w,696
838377,Saratov,Russia,-0.0013,w,697
838301,Valencia,Spain,0.0017,w,698
837479,Tianshui,China,0.028,w,699
835900,Orumiyeh,Iran,0.0163,w,700
834782,Zhuji,China,0.0228,w,701
834065,Eskisehir,Turkey,0.019,w,702
830125,Bozhou,China,0.0341,w,703
826981,Bucheon,South Korea,-0.0011,w,704
826777,Heze,China,0.0141,w,705
826414,Kunshan,China,0.0345,w,706
825581,Barcelona-Puerto La Cruz,Venezuela,0.0128,w,707
823431,Newcastle upon Tyne,United Kingdom,0.0061,w,708
821192,Haicheng,China,0.0163,w,709
821132,Huludao,China,0.0191,w,710
818628,Kottayam,India,0.0491,w,711
818566,Bikaner,India,0.0204,w,712
818057,Jincheng,China,0.0332,w,713
816293,Nellore,India,0.0272,w,714
814524,Thessaloniki,Greece,0.0009,w,715
814332,Bologna,Italy,0.0032,w,716
813394,Gebze,Turkey,0.026,w,717
813369,Liaocheng,China,0.0216,w,718
813320,Sorocaba,Brazil,0.0107,w,719
812090,Bunia,DR Congo,0.0579,w,720
811451,Taixing,China,0.0258,w,721
811041,Xalapa,Mexico,0.0148,w,722
809468,Benguela,Angola,0.042,w,723
807833,Langfang,China,0.0275,w,724
806757,Nottingham,United Kingdom,0.0079,w,725
804537,Zhumadian,China,0.0354,w,726
803194,Cagayan de Oro City,Philippines,0.0215,w,727
802600,Dasmarinas,Philippines,0.0234,w,728
801853,Nakhon Ratchasima,Thailand,0.0119,w,729
800793,Sulaimaniya,Iraq,0.0276,w,730
800010,Zanzibar,Tanzania,0.0439,w,731
798382,Ar-Rayyan,Qatar,0.0244,w,732
797964,Gaomi,China,0.033,w,733
797865,Niigata,Japan,-0.0025,w,734
796756,Meishan,China,0.0299,w,735
796509,Jiaozuo,China,0.0138,w,736
796437,Frankfurt,Germany,0.0066,w,737
795835,Hanchuan,China,0.0327,w,738
793927,Vereeniging,South Africa,0.0099,w,739
792620,Amravati,India,0.0187,w,740
791931,Anqiu,China,0.0444,w,741
791214,Muzaffarnagar,India,0.0314,w,742
789755,Danyang,China,0.0292,w,743
788276,Gorakhpur,India,0.015,w,744
786192,Kayamkulam,India,0.0382,w,745
784230,Shaoguan,China,0.0116,w,746
783243,Malanje,Angola,0.0531,w,747
781047,Hamilton,Canada,0.0068,w,748
779535,Anqing,China,0.0225,w,749
778280,Bur Sa'id,Egypt,0.0185,w,750
778187,Gaza,Palestine,0.0292,w,751
776076,Linhai,China,0.0281,w,752
775559,Cuttack,India,0.0165,w,753
775523,Seattle,United States,0.0168,w,754
774321,Erduosi-Ordoss,China,0.0284,w,755
771515,Oshogbo,Nigeria,0.029,w,756
771514,Ibb,Yemen,0.0547,w,757
770959,Banjarmasin,Indonesia,0.018,w,758
769417,Krakow,Poland,-0.0002,w,759
768075,Zigong,China,0.0146,w,760
767188,Yan'an,China,0.0371,w,761
767161,Belgaum,India,0.0199,w,762
766782,Qingyuan,China,0.0151,w,763
766703,Ansan,South Korea,0.0027,w,764
766007,Zaria,Nigeria,0.0223,w,765
764628,Malegaon,India,0.0225,w,766
762981,Kitwe,Zambia,0.0374,w,767
761169,Shaoyang,China,0.0211,w,768
760129,Merca,Somalia,0.0445,w,769
759150,Dengzhou,China,0.0362,w,770
758185,Maturin,Venezuela,0.0259,w,771
757224,Yanji,China,0.0268,w,772
756158,Tongliao,China,0.0236,w,773
754711,Yuncheng,China,0.034,w,774
753325,Sialkot,Pakistan,0.0229,w,775
752916,Tongling,China,0.0246,w,776
752744,Tirupati,India,0.0324,w,777
751679,Wuzhou,China,0.0242,w,778
750130,Denver,United States,0.0156,w,779
750102,Yuxi,China,0.0373,w,780
750097,Suining Sichuan,China,0.0224,w,781
